sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
0,0.0,1024,1137,2066,1964,1,0,1,27.3161295674845,30.33050714670886,50.439453125
1,0.01,1024,910,1855,1957,1,0,1,27.3161295674845,24.275076080479387,45.2880859375
2,0.02,1024,1137,2065,1963,1,0,1,27.3161295674845,30.33050714670886,50.4150390625
3,0.03,1024,910,1854,1956,1,0,1,27.3161295674845,24.275076080479387,45.263671875
4,0.04,1024,1137,2064,1962,1,0,1,27.3161295674845,30.33050714670886,50.390625
5,0.05,1024,910,1853,1955,1,0,1,27.3161295674845,24.275076080479387,45.2392578125
6,0.06,1024,910,2063,1961,1,0,1,27.3161295674845,24.275076080479387,50.3662109375
7,0.07,1024,1137,2069,1967,1,0,1,27.3161295674845,30.33050714670886,50.5126953125
8,0.08,1024,910,1858,1960,1,0,1,27.3161295674845,24.275076080479387,45.361328125
9,0.09,1024,1137,2068,1966,1,0,1,27.3161295674845,30.33050714670886,50.48828125
10,0.1,1024,910,1857,1959,1,0,1,27.3161295674845,24.275076080479387,45.3369140625
11,0.11,1024,910,2067,1965,1,0,1,27.3161295674845,24.275076080479387,50.4638671875
12,0.12,1024,1137,2073,1971,1,0,1,27.3161295674845,30.33050714670886,50.6103515625
13,0.13,1024,910,1862,1964,1,0,1,27.3161295674845,24.275076080479387,45.458984375
14,0.14,1024,1137,2072,1970,1,0,1,27.3161295674845,30.33050714670886,50.5859375
15,0.15,1024,910,1861,1963,1,0,1,27.3161295674845,24.275076080479387,45.4345703125
16,0.16,1024,1137,2071,1969,1,0,1,27.3161295674845,30.33050714670886,50.5615234375
17,0.17,1024,910,1860,1962,1,0,1,27.3161295674845,24.275076080479387,45.41015625
18,0.18,1024,910,2070,1968,1,0,1,27.3161295674845,24.275076080479387,50.537109375
19,0.19,1024,1137,2076,1974,1,0,1,27.3161295674845,30.33050714670886,50.68359375
20,0.2,1024,910,1865,1967,1,0,1,27.3161295674845,24.275076080479387,45.5322265625
21,0.21,1024,1137,2075,1973,1,0,1,27.3161295674845,30.33050714670886,50.6591796875
22,0.22,1024,910,1864,1966,1,0,1,27.3161295674845,24.275076080479387,45.5078125
23,0.23,1024,1137,2074,1972,1,0,1,27.3161295674845,30.33050714670886,50.634765625
24,0.24,1024,910,1863,1965,1,0,1,27.3161295674845,24.275076080479387,45.4833984375
25,0.25,1024,1137,2073,1971,1,0,1,27.3161295674845,30.33050714670886,50.6103515625
26,0.26,1024,910,1862,1964,1,0,1,27.3161295674845,24.275076080479387,45.458984375
27,0.27,1024,1137,2072,1970,1,0,1,27.3161295674845,30.33050714670886,50.5859375
