sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
0,0.0,1024,1019,1968,1965,1,0,1,27.3161295674845,27.182750028580767,48.046875
1,0.01,1024,1019,1969,1965,1,0,1,27.3161295674845,27.182750028580767,48.0712890625
2,0.02,1024,1018,1969,1965,1,0,1,27.3161295674845,27.156074120800017,48.0712890625
3,0.03,1024,1019,1970,1965,1,0,1,27.3161295674845,27.182750028580767,48.095703125
4,0.04,1024,1020,1969,1965,1,0,1,27.3161295674845,27.209425936361512,48.0712890625
5,0.05,1024,1019,1968,1965,1,0,1,27.3161295674845,27.182750028580767,48.046875
6,0.06,1024,1019,1969,1965,1,0,1,27.3161295674845,27.182750028580767,48.0712890625
7,0.07,1024,1018,1969,1965,1,0,1,27.3161295674845,27.156074120800017,48.0712890625
8,0.08,1024,1019,1970,1965,1,0,1,27.3161295674845,27.182750028580767,48.095703125
9,0.09,1024,1020,1969,1965,1,0,1,27.3161295674845,27.209425936361512,48.0712890625
10,0.1,1024,1020,1968,1965,1,0,1,27.3161295674845,27.209425936361512,48.046875
11,0.11,1024,1020,1968,1965,1,0,1,27.3161295674845,27.209425936361512,48.046875
12,0.12,1024,1019,1968,1965,1,0,1,27.3161295674845,27.182750028580767,48.046875
13,0.13,1024,1020,1969,1965,1,0,1,27.3161295674845,27.209425936361512,48.0712890625
14,0.14,1024,1019,1968,1965,1,0,1,27.3161295674845,27.182750028580767,48.046875
15,0.15,1024,1020,1969,1965,1,0,1,27.3161295674845,27.209425936361512,48.0712890625
16,0.16,1024,1018,1968,1965,1,0,1,27.3161295674845,27.156074120800017,48.046875
17,0.17,1024,1019,1970,1965,1,0,1,27.3161295674845,27.182750028580767,48.095703125
18,0.18,1024,1023,1969,1965,1,0,1,27.3161295674845,27.289453659703753,48.0712890625
19,0.19,1024,1019,1965,1965,1,0,1,27.3161295674845,27.182750028580767,47.9736328125
20,0.2,1024,1022,1969,1965,1,0,1,27.3161295674845,27.262777751923004,48.0712890625
21,0.21,1024,1018,1966,1965,1,0,1,27.3161295674845,27.156074120800017,47.998046875
22,0.22,1024,1019,1970,1965,1,0,1,27.3161295674845,27.182750028580767,48.095703125
23,0.23,1024,1023,1969,1965,1,0,1,27.3161295674845,27.289453659703753,48.0712890625
24,0.24,1024,1019,1965,1965,1,0,1,27.3161295674845,27.182750028580767,47.9736328125
25,0.25,1024,1022,1969,1965,1,0,1,27.3161295674845,27.262777751923004,48.0712890625
26,0.26,1024,1021,1966,1965,1,0,1,27.3161295674845,27.236101844142258,47.998046875
27,0.27,1024,1019,1967,1965,1,0,1,27.3161295674845,27.182750028580767,48.0224609375
28,0.28,1024,1019,1969,1965,1,0,1,27.3161295674845,27.182750028580767,48.0712890625
29,0.29,1024,1018,1969,1965,1,0,1,27.3161295674845,27.156074120800017,48.0712890625
30,0.3,1024,1019,1970,1965,1,0,1,27.3161295674845,27.182750028580767,48.095703125
31,0.31,1024,1020,1969,1965,1,0,1,27.3161295674845,27.209425936361512,48.0712890625
32,0.32,1024,1019,1968,1965,1,0,1,27.3161295674845,27.182750028580767,48.046875
